code,product_name,nova_group,energy-kcal_100g,proteins_100g,fat_100g,saturated-fat_100g,carbohydrates_100g,sugars_100g,fiber_100g,cholesterol_100g,calcium_100g,iron_100g,potassium_100g,sodium_100g
3175681851849,Pomme 🍏 🍎 Noisette🥜,4,453.0,9.8,17.0,1.5,62.0,11.0,6.6,,,,,0.004
3451790988677,Le Beurre Tendre Doux,2,744.0,0.7,82.0,57.0,0.8,0.8,0.0,,,,,0.02
5010029000801,Family Pack,3,362.0,12.0,2.0,0.6,74.0,4.2,10.0,,,0.012,,0.11
20003166,Haferflocken,1,372.0,13.5,7.0,1.3,58.7,0.7,10.0,,,0.0,,0.012
5013665112273,Organic Vegetable Stock Cubes,3,7.0,0.0,0.4,0.2,0.7,0.3,0.01,,,,,0.36
6111250012416,Le bon lait,1,46.0,3.0,1.5,1.0,4.9,0.0,,,0.123,,,0.0
6111252860077,Trios,4,534.0,5.2,32.1,32.1,54.0,54.0,,,,,,0.8
3046920028363,Excellence 85% Cacao Rich Dark,3,578.393881362,12.5,46.0,27.0,22.0,15.0,15.0,,,,,0.005
20095291,Edelbitter 70% Cacao,4,544.0,8.8,40.0,24.8,32.0,27.2,12.0,,,,,
3229820019307,Flocons d'avoine,1,362.0,11.0,7.1,1.3,58.0,1.7,11.0,,,0.0,,0.008
5034467000216,Tofoo Naked,3,146.0,16.6,7.86,1.14,1.14,0.143,1.86,,,,,0.0229
80176800,Nutella,4,533.33,6.0,30.67,10.67,57.33,56.0,0.0,0.0,0.0,0.0,0.0,0.428
6111035003509,"Bahia, Eau De Table",1,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
6111126003821,Lait Frais 15 jours,1,57.2,3.01,2.91,1.62,4.75,4.75,,0.012,0.116,,0.15,0.0345
3480341000674,Carré Frais,3,85.0,16.0,0.3,0.2,4.5,2.9,,,0.010625,0.0,,0.511
6111203001474,La prairie classique,4,635.0,1.0,70.0,0.0,0.7,0.0,,,,,,0.0
87157215,Tomato Ketchup,3,102.0,1.2,0.1,0.1,23.2,22.8,,,,,,0.72
5053990156009,Pringles Original,4,534.0,5.9,31.0,6.6,56.0,1.4,3.5,,,,,0.44
8410076801180,Crunchy oats&honey,4,436.0,8.0,16.9,2.0,60.0,25.1,6.0,,,,,0.316
4008400401621,Nutella,4,539.0,6.3,30.9,10.6,57.5,56.3,,,,0.0,,0.044
6111242102002,Ghilal Yaourt zr3,4,106.0,3.5,3.0,2.2,16.0,7.5,1.1,,,,,0.0
3251490332080,Figue & son,4,450.0,9.3,19.0,1.7,54.0,16.0,13.0,,,,,0.076
3175680015228,Levure de bière,1,323.0,46.0,4.6,0.8,12.0,1.2,25.0,,,,,0.128
3229820160672,Croustillant Chocolat,4,433.0,9.8,14.0,3.8,62.0,14.0,9.8,,,,,0.112
5449000133328,,4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.008
20006105,Wholegrain Rye Bread,4,209.0,5.71,1.79,0.36,38.0,3.93,9.29,,,,,0.4
3760049790214,Pain De Mie Bio,4,268.0,8.1,4.2,0.4,47.0,6.3,4.9,,,,,0.44
3046920028721,Bitter Extra Kraftig,3,573.0,14.0,49.0,30.0,10.0,1.0,,,,,,0.28
5010003064744,Seed Sensations,4,277.0,10.0,6.59,0.682,42.0,3.86,5.23,,,,,0.355
3019081238643,Sardines Huile d'Olive Vierge Extra,3,554.0,56.1,36.6,8.54,0.0,0.0,,,,,,1.17
5449000000439,Coca-Cola,4,42.0,0.0,0.0,,10.6,10.6,,,,,,0.012
6111024001516,"Huile de table équilibrée riche en vitamines A,E,D3",4,900.0,0.0,100.0,15.0,0.0,0.0,,,,,,0.0
7613035040823,Nestlé Dessert,4,548.0,6.0,34.1,20.2,50.7,46.4,7.3,,,,,0.004
6111259342828,Petit beurre,4,427.0,6.6,17.5,8.5,60.0,15.3,1.2,,,,,0.092
3257971309114,Eau minérale naturelle,1,0.0,0.0,0.0,0.0,0.0,0.0,,,0.00026,,,0.0003
3256540000698,Pains au lait x10,4,353.0,8.6,11.0,4.0,55.0,11.0,3.5,,,,,0.0011
8000500179864,Nutella,4,539.0,6.3,30.9,10.6,57.2,56.3,3.0,,,,,0.044
3045140105502,Chocolat au lait,4,539.0,6.5,31.0,19.0,57.0,55.0,2.3,,,,,0.11
50457250,Tomato Ketchup,3,102.0,1.2,0.1,0.1,23.2,22.8,,,,,,0.708
6111184001203,Moutarde 10.50 g,4,158.7,7.44,11.19,0.71,7.07,1.94,,,,,,2.616
5020364010113,Bakery Co. 5 The Original Bagels,3,229.0,7.8,2.2,0.8,42.0,4.4,2.6,,,,,0.075
42105220,Coca Cola,4,42.0,0.0,0.0,0.0,10.6,10.6,,,,,,0.0
